word,word_cnt_all,word_cnt_sentence,idf
何,2743.0,1787.0,2.4176932500770016
話す,301.0,238.0,4.433716091564954
なっ,10691.0,4872.0,1.414726955846696
○,827.0,226.0,4.485451765964143
感じ,2228.0,1436.0,2.63637001562826
状態,1132.0,752.0,3.2832504412865893
検索,529.0,229.0,4.472264761682189
ご,3407.0,1163.0,2.847228612717765
こんな,862.0,659.0,3.415263230733922
お願い,322.0,259.0,4.349158703536892
思う,2076.0,1266.0,2.762369162532308
読み上げる,3.0,3.0,8.80737447656832
せ,3137.0,2070.0,2.2706828789770146
本音,212.0,167.0,4.787992952819674
たち,2365.0,1302.0,2.734329942467915
かかっ,218.0,195.0,4.6329872066726825
前,2138.0,1505.0,2.5894385880534534
あくまで,84.0,80.0,5.523960130562548
悩み相談,11.0,8.0,7.826545223556593
楽しさ,104.0,89.0,5.41735039550429
司会者,21.0,19.0,6.961547786069989
主役,110.0,91.0,5.3951272587195795
本当,266.0,219.0,4.516915035419928
けど,3371.0,1540.0,2.5664490698287548
のに,1260.0,947.0,3.052687672050351
思っ,2530.0,1504.0,2.590103260726644
少なく,319.0,292.0,4.2292329629681475
れる,7143.0,3885.0,1.6411085024346814
もうすぐ,70.0,67.0,5.701294145845464
ば,6472.0,3201.0,1.8347682252665667
さて,231.0,203.0,4.592780786194642
私,2931.0,1230.0,2.7912173168699663
）,28315.0,5930.0,1.2182072732446585
多少,205.0,193.0,4.643296576331544
人前,35.0,20.0,6.910254491682439
それ,3295.0,1970.0,2.320197943504395
まだ,724.0,614.0,3.485991837089287
準備,240.0,199.0,4.612681940511937
大,2237.0,1381.0,2.675423611827137
です,21557.0,4042.0,1.6014918672728626
人知れず,12.0,11.0,7.508091492438059
事前,211.0,177.0,4.7298370326626005
最中,51.0,50.0,5.993963759808283
新婦,20.0,8.0,7.826545223556593
掲載,541.0,440.0,3.819212038324123
しかし,1533.0,1217.0,2.8018426722489025
友人,690.0,419.0,3.868115845314292
「,62996.0,7191.0,1.0254012421339347
プロ,470.0,277.0,4.281969259049091
大切,689.0,526.0,3.640685552498719
不安,439.0,310.0,4.169414467757237
」,62092.0,7181.0,1.026792837126111
だろ,4611.0,2575.0,2.0523819521385924
いざ,114.0,112.0,5.187487893941335
33歳,171.0,149.0,4.90204045929097
なる,8441.0,4194.0,1.5645765537745646
か,16503.0,5138.0,1.3615675875666007
知ら,826.0,694.0,3.3635148047296246
いえ,933.0,777.0,3.250546414868782
のちほど,1.0,1.0,9.90598676523643
要は,41.0,39.0,6.242425119106783
ばかり,929.0,763.0,3.2687287339519724
なり,3704.0,2312.0,2.1601185354441608
際,962.0,640.0,3.444518588882712
しゃべっ,32.0,24.0,6.727932934888484
お,4651.0,2170.0,2.2235043187019237
一応,35.0,31.0,6.471999560751283
リハーサル,19.0,14.0,7.26692943562117
一番,1036.0,826.0,3.1893919917154516
影,81.0,76.0,5.575253424950098
嫌,277.0,216.0,4.530708357552264
だから,466.0,327.0,4.116026594339176
陥っ,43.0,42.0,6.168317146953061
こと,24383.0,6065.0,1.1956969438582785
くらい,1096.0,807.0,3.2126630969664802
苦手,222.0,175.0,4.741200791312915
て,99996.0,7303.0,1.0099462636163192
人選,6.0,6.0,8.114227296008375
いく,2069.0,1409.0,2.6553512533377495
も,47188.0,7006.0,1.0514645614789977
一方,870.0,795.0,3.2276446505820973
そうすると,18.0,18.0,7.015615007340265
無難,26.0,24.0,6.727932934888484
活用,640.0,424.0,3.8562533100044716
もらっ,492.0,375.0,3.9790607392660187
もらえる,254.0,213.0,4.544694599527004
サイト,1079.0,669.0,3.4002027051082004
で,83861.0,7321.0,1.0074845555897873
場合,3011.0,1367.0,2.68561292851248
緊張,159.0,125.0,5.077673027934128
６月,26.0,22.0,6.814944311878113
添削,5.0,3.0,8.80737447656832
ください,2320.0,988.0,3.010304067488561
相談,443.0,299.0,4.205543191845742
いただき,660.0,399.0,3.9170253483465656
たら,3840.0,2120.0,2.246815397570371
ます,23515.0,4003.0,1.6111874062438556
なら,3447.0,2179.0,2.219365430291809
。,134572.0,7339.0,1.0050288926913673
